2009-12-03/11:15 23412
2009-12-04/11:33 22956
2009-12-04/18:01 22956
2009-12-08/18:03 22956
2009-12-11/17:02 22948
2009-12-28/12:43 22888
2010-03-08/17:50 20564
2010-03-14/03:22 20350
2010-03-26/16:00 20350
2010-04-17/10:27 20354
2010-05-15/07:37 19332
2010-05-20/10:25 16820
2010-05-21/16:21 16820
2010-05-27/16:38 17644
2010-06-09/07:06 16160
2010-06-16/13:45 15544
2010-06-19/17:10 14872
2010-06-21/16:18 14816
2010-06-22/16:31 9860
2010-06-24/16:36 12024
2010-06-28/08:43 10984
2010-06-28/09:29 10048
2010-06-28/12:16 9636
2010-06-28/13:48 9088
2010-06-28/17:17 9048
2010-06-30/10:12 9052
2010-07-01/10:03 8544
2010-07-01/10:40 8084
2010-07-01/12:47 7384
2010-07-01/16:27 7288
2010-07-02/14:30 6960
2010-07-02/16:13 6828
2010-07-05/14:31 6412
2010-07-05/15:17 6072
2010-07-05/20:02 6140
2010-07-06/17:33 5924
2010-07-07/09:17 5888
2010-07-08/15:01 5748
2010-07-09/13:41 5632
2010-07-09/21:32 5368
2010-07-13/16:13 5416
2010-07-14/12:03 5300
2010-07-14/18:54 5268
2010-07-15/08:59 4776
2010-07-16/10:01 4804
2010-07-16/12:26 4804
2010-07-22/06:57 3872
2010-07-25/10:56 3764
2010-07-26/20:51 3680
2010-07-27/17:00 3644
2010-07-29/10:55 3652
2010-07-29/12:04 3652
2010-07-29/17:41 2916
2010-07-30/17:38 2876
2010-08-02/13:30 2644
2010-08-06/19:26 2492
2010-08-10/18:08 2344
2010-10-08/08:36 2356
2010-10-16/09:09 4648
2010-10-21/17:42 4612
2010-11-01/13:03 3654
2010-11-24/10:12 3667
2010-11-27/09:21 3671
