2009-12-03,353
2009-12-04,352
2009-12-04,352
2009-12-08,352
2009-12-11,351
2009-12-28,353
2010-03-08,386
2010-03-14,378
2010-03-26,378
2010-04-17,379
2010-05-15,391
2010-05-20,390
2010-05-21,390
2010-05-27,399
2010-06-09,388
2010-06-16,379
2010-06-19,396
2010-06-21,393
2010-06-22,322
2010-06-24,330
2010-06-28,335
2010-06-28,344
2010-06-28,348
2010-06-28,345
2010-06-28,342
2010-06-30,343
2010-07-01,339
2010-07-01,316
2010-07-01,299
2010-07-01,293
2010-07-02,289
2010-07-02,294
2010-07-05,292
2010-07-05,279
2010-07-05,270
2010-07-06,267
2010-07-07,263
2010-07-08,260
2010-07-09,265
2010-07-09,264
2010-07-13,262
2010-07-14,257
2010-07-14,256
2010-07-15,245
2010-07-16,246
2010-07-16,246
2010-07-22,210
2010-07-25,203
2010-07-26,195
2010-07-27,190
2010-07-29,190
2010-07-29,190
2010-07-29,175
2010-07-30,173
2010-08-02,163
2010-08-06,151
2010-08-10,145
2010-10-08,149
2010-10-16,168
2010-10-21,164
2010-11-01,168
2010-11-24,165
2010-11-27,164
