2009-12-03,125740
2009-12-04,125740
2009-12-04,125740
2009-12-08,125780
2009-12-11,125776
2009-12-28,125732
2010-03-08,122368
2010-03-14,121967
2010-03-26,121967
2010-04-17,122043
2010-05-15,122352
2010-05-20,120916
2010-05-21,120916
2010-05-27,122276
2010-06-09,123344
2010-06-16,122300
2010-06-19,122304
2010-06-21,122320
2010-06-22,120464
2010-06-24,119080
2010-06-28,119228
2010-06-28,119228
2010-06-28,119228
2010-06-28,119228
2010-06-28,119260
2010-06-30,119184
2010-07-01,120000
2010-07-01,118928
2010-07-01,119024
2010-07-01,119024
2010-07-02,119024
2010-07-02,119532
2010-07-05,119532
2010-07-05,119532
2010-07-05,119732
2010-07-06,119692
2010-07-07,120256
2010-07-08,120496
2010-07-09,121024
2010-07-09,121024
2010-07-13,121720
2010-07-14,121736
2010-07-14,121976
2010-07-15,121684
2010-07-16,121716
2010-07-16,121716
2010-07-22,121716
2010-07-25,120976
2010-07-26,120840
2010-07-27,120916
2010-07-29,120944
2010-07-29,120924
2010-07-29,120856
2010-07-30,120756
2010-08-02,120544
2010-08-06,120544
2010-08-10,120544
2010-10-08,121572
2010-10-16,124240
2010-10-21,124232
2010-11-01,124364
2010-11-24,124232
2010-11-27,124252
